firm_name;n_patents;ipc_main_code;ipc_main_desc;ipc_second_code;ipc_second_desc;addr_city_main;addr_dept_main
INTENT TECHNOLOGIES;1;G05B;"Control or regulating systems in general; functional elements of such systems; monitoring or testing arrangements for such systems or elements";;;Lille;59
INTER CUISINES;2;A47J;"Kitchen equipment; coffee mills; spice mills; apparatus for making beverages";;;Vitry sur Seine;94
INTERACTIF VISUEL SYSTEME I V S;2;A61B;"Diagnosis; surgery; identification";;;Clichy;92
INTERCHIM;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Montlucon;31
INTERCLOUD;1;H04L;Transmission of digital information, e.g. Telegraphic communication;;;Levallois Perret;92
INTERDIGITAL CE PATENT HOLDINGS;327;H04N;Pictorial communication, e.g. Television;;;Paris;75
INTERDIGITAL MADISON PATENT HOLDINGS;45;H04N;Pictorial communication, e.g. Television;;;Paris;75
INTERDIGITAL VC HOLDINGS FRANCE;1;H04N;Pictorial communication, e.g. Television;;;Cesson Sevigne;35
INTERGESCOM;1;A47B;"Tables; desks; office furniture; cabinets; drawers; general details of furniture";;;Le Cateau Cambresis;59
INTERNATIONAL COATING PRODUCTS;1;B28C;"Preparing clay; producing mixtures containing clay or cementitious material, e.g. Plaster";C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";Lagnieu;11
INTERNATIONAL COOKWARE;1;A47J;"Kitchen equipment; coffee mills; spice mills; apparatus for making beverages";B65D;"Containers for storage or transport of articles or materials, e.g. Bags, barrels, bottles, boxes, cans, cartons, crates, drums, jars, tanks, hoppers, forwarding containers; accessories, closures, or fittings therefor; packaging elements; packages";Chateauroux;36
INTERNATIONAL PLASTIC INDUSTRIE;1;B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";;;Chilleurs aux Bois;45
INTERNATIONAL WOOLLIP COMPANY;1;A47C;Chairs;;;Neuilly sur Seine;92
INTERNATIONALDRUGDEVELOPMENTBIOTECH;14;C07K;Peptides;;;Lyon;69
INTERNATIONALE DE DESSALEMENT;1;B01D;Separation;;;Paris;75
INTERNATIONALE DE VENTE DETUDES ET RECHERCHES SIVER;1;A45B;Walking sticks;;;Montargis;45
INTERNATIONALE DES JEUX;1;G07F;Coin-freed or like apparatus;;;Boulogne Billancourt;92
INTEROLEAGINEUSE D ASSISTANCE ET DE DEVELOPPEMENT SIA;2;C07C;Acyclic or carbocyclic compounds;;;Paris;75
